,text,url
0,Consumo interno detona planes de GICSA a 5 años,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/11/28/consumo-interno-detona-planes-de-gicsa-5-anos
1,Advierten impacto por alza en tasa de hipotecas,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/11/28/advierten-impacto-por-alza-en-tasa-de-hipotecas
2,FOVISSSTE compartirá información de oferta hipotecaria,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/11/27/fovissste-compartira-informacion-de-oferta-hipotecaria
3,Licitación de 148 canales atrae a 25 interesados,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/11/26/licitacion-de-148-canales-atrae-25-interesados
4,Ford aumenta oferta en pick ups con modelo Raptor 2017 ,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/11/26/ford-aumenta-oferta-en-pick-ups-con-modelo-raptor-2017
5,Pide Anierm intercambio comercial con otros países ,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/11/26/pide-anierm-intercambio-comercial-con-otros-paises
6,Retroceden 4.4% las exportaciones en octubre: Inegi,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/11/26/retroceden-44-las-exportaciones-en-octubre-inegi
7,Sufre economía desaceleración,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/11/26/sufre-economia-desaceleracion
8,Banxico advierte de fase de desaceleración,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/11/25/banxico-advierte-de-fase-de-desaceleracion
9,Cierra dólar al menudeo en $20.95,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/11/25/cierra-dolar-al-menudeo-en-2095
10,Economía Universal,http://www.eluniversal.com.mxhttp://www.eluniversaltv.com.mx/video/cartera/2016/walmart-seguira-pagando-15-por-hora-en-mexico-65279
11,Walmart seguirá pagando $15 por hora en México,http://www.eluniversal.com.mxhttp://www.eluniversaltv.com.mx/video/cartera/2016/walmart-seguira-pagando-15-por-hora-en-mexico-65279
12,"Por Trump, empresarios de México y EU alistan estrategia",http://www.eluniversal.com.mxhttp://www.eluniversaltv.com.mx/video/cartera/2016/preparan-estrategia-empresarios-de-mexico-y-eu
13,Pega el dólar a deuda de firmas,http://www.elfinanciero.com.mx/economia/pega-el-dolar-a-deuda-de-firmas.html
14,Salen 100 mdd diarios a bancos extranjeros en los que va del año,http://www.elfinanciero.com.mx/economia/salen-100-mdd-diarios-a-bancos-extranjeros-en-los-que-va-del-ano.html
15,"México se beneficiaría de la política fiscal de Trump, según la OCDE",http://www.elfinanciero.com.mx/economia/beneficiaria-a-mexico-la-politica-fiscal-de-donald-trump-ocde.html
16,10 things you need to know before the opening bell,http://www.businessinsider.com.au/opening-bell-november-28-2016-2016-11
17,10 things you need to know before the opening bell,http://www.businessinsider.com.au/10-things-you-need-to-know-today-november-25-2016-2016-11
18,China approves $36 billion rail project,http://money.cnn.com//2016/11/28/news/china-railway-expansion-beijing/index.html
19,Premarket: 4 things to know before the bell,http://money.cnn.com//2016/11/28/investing/premarket-stocks-trading/index.html
20,Morgan UK1909: This electric car has 3 wheels and no roof,http://money.cnn.com//2016/11/28/autos/morgan-uk1909-electric-car/index.html
21,Why I shop on Black Friday (Hint: It's not for the deals),http://money.cnn.com//2016/11/23/pf/black-friday-family-traditions/index.html
22,Hatchimals stockpile is surprise windfall for Arizona brothers,http://money.cnn.com//2016/11/23/smallbusiness/hatchimals-ebay/index.html
23,OPEC Tries to Salvage Deal as Saudis Say Cut Isn’t Essential,http://www.bloomberg.com//news/articles/2016-11-27/opec-push-for-deal-sends-algeria-venezuela-ministers-to-moscow
24,Paul Manafort Is Back,http://www.bloomberg.com//news/articles/2016-11-28/paul-manafort-is-back
25,What Will Italy’s Referendum Mean for the Euro?,http://www.bloomberg.com//news/articles/2016-11-28/why-italian-vote-unlikely-to-mean-swift-euro-exit-quicktake-q-a
26,Politics and Markets: Won’t Get Fooled Again?,http://www.wsj.com/articles/politics-and-markets-wont-get-fooled-again-1480334721
27,Emerging Market Fund Managers Trampled by Trump,http://www.wsj.com//articles/emerging-market-fund-managers-trampled-by-trump-1480339749
28,China’s Debt-Laden Companies Take a Load Off—for Now,http://www.wsj.com//articles/chinas-debt-laden-companies-take-a-load-offfor-now-1480317266
29,Warning Ahead: The Pitfalls of Dow Milestones,http://www.wsj.com//articles/warning-ahead-the-pitfalls-of-dow-milestones-1480274336
30,A Double-Digit Return Is Hiding in Plain Sight at Under Armour,http://www.wsj.com//articles/a-double-digit-return-is-hiding-in-plain-sight-at-under-armour-1480273380
31,Virtual Reality’s Long Walk Before Running,http://www.wsj.com//articles/virtual-realitys-long-walk-before-running-1480271531
32,"Rising Mortgage Rates Help, but Also Hurt, Banks",http://www.wsj.com//articles/rising-mortgage-rates-help-but-also-hurt-banks-1480266809
33,Another Shoe Drops at comScore,http://www.wsj.com//articles/another-shoe-drops-at-comscore-1480103867
34,Trade War’s Biggest Loser—Stocks,http://www.wsj.com//articles/trade-wars-biggest-loserstocks-1480101219
35,Apple Customers Listening Carefully,http://blogs.wsj.com/moneybeat/2016/11/25/apple-customers-listening-carefully/
36,Lufthansa Pilots Strike Distracts From Real Problems,http://www.wsj.com//articles/lufthansa-pilots-strike-distracts-from-real-problems-1480083418
37,Why Investors Should Build Their Own Global Banks,http://www.wsj.com//articles/why-investors-should-build-their-own-global-banks-1480078411
